     KEYSET                 |    STATUS       |                             COMMENTS                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
----------------------------|-----------------|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Purchasing individual keys  |                 |  
Individual keys may now be purchased for keysets in stock. This is to help people complete their keyset if a key has been lost or damaged. The key you are requesting must be one of the keys offered in that kit. More than one key may be purchase at a time. When checking out, you must identify in the NOTES the name of the kit as well as the legend description and key size. Individual keys sell for $10.00 each plus shipping. If a key is not in inventory, your money will be refunded.

Quartz (DSA sub)            |  In production  |  Expected completion 4/18.                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Round 6 - Phase 1 (SA)      |  In production  |  Expected completion 4/11. No KeyShop sales.                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Granite (DSA sub)           |  In production  |  Expected completion 4/11 for first half; 5/4 for second half. No KeyShop sales.                                                                                                                                                                                                                                                                                                                                                                                                                       
Pulse Round 2 (SA)          |  Scheduled      |  Expected completion 5/26.                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
1976 Round 2 (SA)           |  Scheduled      |  Expected completion 7/29.                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Nantucket Selectric (SA)    |  Scheduled      |  Expected completion 8/31                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Round 6 - Phase 2 (SA)      |  Quoted         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Electric SA                 |  Quoted         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
